S0,K,C_mkt,T,iv
672.88,634.0,0.19,0.0091,0.2554
672.88,635.0,0.19,0.0091,0.252
672.88,636.0,0.22,0.0091,0.2503
672.88,637.0,0.42,0.0091,0.2466
672.88,638.0,0.41,0.0091,0.2405
672.88,639.0,0.27,0.0091,0.2363
672.88,640.0,0.24,0.0091,0.2324
672.88,641.0,0.23,0.0091,0.2295
672.88,642.0,0.35,0.0091,0.2236
672.88,643.0,0.38,0.0091,0.2222
672.88,644.0,0.38,0.0091,0.2188
672.88,645.0,0.41,0.0091,0.2151
672.88,646.0,0.35,0.0091,0.2112
672.88,647.0,0.5,0.0091,0.2085
672.88,648.0,0.42,0.0091,0.2075
672.88,649.0,0.45,0.0091,0.2029
672.88,650.0,0.47,0.0091,0.2019
672.88,651.0,0.67,0.0091,0.1995
672.88,652.0,0.54,0.0091,0.1957
672.88,653.0,0.62,0.0091,0.1932
672.88,654.0,0.7,0.0091,0.191
672.88,655.0,0.79,0.0091,0.1884
672.88,656.0,1.02,0.0091,0.1851
672.88,657.0,0.99,0.0091,0.1834
672.88,658.0,0.98,0.0091,0.1814
672.88,659.0,1.18,0.0091,0.179
672.88,660.0,1.3,0.0091,0.1763
672.88,661.0,1.34,0.0091,0.1741
672.88,662.0,1.54,0.0091,0.1703
672.88,663.0,1.7,0.0091,0.1686
672.88,664.0,1.9,0.0091,0.1669
672.88,665.0,2.15,0.0091,0.1632
672.88,666.0,2.35,0.0091,0.1611
672.88,667.0,2.52,0.0091,0.1611
672.88,668.0,2.89,0.0091,0.158
672.88,669.0,3.15,0.0091,0.1561
672.88,670.0,3.5,0.0091,0.1542
672.88,671.0,3.95,0.0091,0.1501
672.88,672.0,4.29,0.0091,0.1502
672.88,673.0,4.73,0.0091,0.1466
672.88,674.0,4.93,0.0091,0.1441
672.88,675.0,5.65,0.0091,0.1447
672.88,676.0,6.1,0.0091,0.1436
672.88,677.0,6.73,0.0091,0.1419
672.88,678.0,7.24,0.0091,0.1375
672.88,679.0,9.0,0.0091,0.1403
672.88,680.0,8.81,0.0091,0.1396
672.88,681.0,9.66,0.0091,0.1367
672.88,682.0,10.7,0.0091,0.1399
672.88,684.0,14.22,0.0091,0.1443
672.88,685.0,13.34,0.0091,0.1488
672.88,686.0,18.16,0.0091,0.1517
672.88,689.0,16.38,0.0091,0.1675
672.88,690.0,15.81,0.0091,0.1713
672.88,691.0,16.77,0.0091,0.1804
672.88,692.0,8.75,0.0091,0.189
672.88,695.0,14.49,0.0091,0.2672
672.88,700.0,21.92,0.0091,0.2997
672.88,715.0,40.96,0.0091,0.4244
672.88,717.0,36.77,0.0091,0.4382
672.88,735.0,59.85,0.0091,0.5356
672.88,575.0,0.13,0.0118,0.4766
672.88,580.0,0.1,0.0118,0.46
672.88,585.0,0.17,0.0118,0.4434
672.88,595.0,0.14,0.0118,0.4004
672.88,600.0,0.17,0.0118,0.3906
672.88,605.0,0.12,0.0118,0.3691
672.88,610.0,0.21,0.0118,0.3477
672.88,615.0,0.16,0.0118,0.3315
672.88,620.0,0.2,0.0118,0.3081
672.88,625.0,0.36,0.0118,0.2891
672.88,630.0,0.28,0.0118,0.272
672.88,631.0,0.53,0.0118,0.27
672.88,632.0,0.34,0.0118,0.2644
672.88,633.0,0.52,0.0118,0.262
672.88,634.0,0.37,0.0118,0.2593
672.88,635.0,0.36,0.0118,0.2551
672.88,636.0,0.63,0.0118,0.2522
672.88,637.0,0.76,0.0118,0.2478
672.88,638.0,0.75,0.0118,0.2459
672.88,639.0,0.39,0.0118,0.2412
672.88,640.0,0.42,0.0118,0.2398
672.88,641.0,0.56,0.0118,0.2371
672.88,642.0,0.87,0.0118,0.231
672.88,643.0,0.54,0.0118,0.229
672.88,644.0,0.56,0.0118,0.2274
672.88,645.0,0.58,0.0118,0.2256
672.88,646.0,0.66,0.0118,0.2217
672.88,647.0,0.85,0.0118,0.22
672.88,648.0,0.75,0.0118,0.2178
672.88,649.0,0.91,0.0118,0.2161
672.88,650.0,0.83,0.0118,0.2112
672.88,651.0,0.92,0.0118,0.2101
672.88,652.0,0.99,0.0118,0.2078
672.88,654.0,1.17,0.0118,0.2031
672.88,655.0,1.3,0.0118,0.2008
672.88,656.0,1.41,0.0118,0.198
672.88,657.0,1.51,0.0118,0.1957
672.88,658.0,1.88,0.0118,0.1934
672.88,659.0,1.75,0.0118,0.1915
672.88,660.0,1.99,0.0118,0.1902
672.88,661.0,2.05,0.0118,0.1868
672.88,662.0,2.24,0.0118,0.1834
672.88,663.0,2.41,0.0118,0.1816
672.88,664.0,3.08,0.0118,0.1807
672.88,665.0,2.81,0.0118,0.178
672.88,666.0,3.25,0.0118,0.1761
672.88,667.0,3.43,0.0118,0.1738
672.88,668.0,3.62,0.0118,0.1722
672.88,669.0,4.12,0.0118,0.1695
672.88,670.0,4.47,0.0118,0.1682
672.88,671.0,4.84,0.0118,0.1646
672.88,672.0,5.24,0.0118,0.1627
672.88,673.0,5.59,0.0118,0.1605
672.88,674.0,5.94,0.0118,0.1616
672.88,675.0,6.53,0.0118,0.1595
672.88,676.0,7.44,0.0118,0.1559
672.88,677.0,9.42,0.0118,0.1571
672.88,678.0,9.19,0.0118,0.1534
672.88,679.0,10.59,0.0118,0.1525
672.88,680.0,9.75,0.0118,0.1503
672.88,681.0,12.76,0.0118,0.1501
672.88,682.0,15.51,0.0118,0.1467
672.88,683.0,15.72,0.0118,0.1472
672.88,684.0,14.8,0.0118,0.148
672.88,685.0,16.29,0.0118,0.1511
672.88,686.0,17.51,0.0118,0.1475
672.88,688.0,20.62,0.0118,0.1536
672.88,689.0,15.0,0.0118,0.157
672.88,690.0,21.12,0.0118,0.1607
672.88,697.0,14.45,0.0118,0.251
672.88,705.0,35.09,0.0118,0.3164
672.88,575.0,0.14,0.0146,0.4609
672.88,580.0,0.24,0.0146,0.4443
672.88,585.0,0.27,0.0146,0.4307
672.88,590.0,0.12,0.0146,0.4121
672.88,595.0,0.24,0.0146,0.3926
672.88,600.0,0.26,0.0146,0.3755
672.88,605.0,0.31,0.0146,0.3633
672.88,610.0,0.2,0.0146,0.3389
672.88,615.0,0.26,0.0146,0.3213
672.88,620.0,0.28,0.0146,0.3062
672.88,625.0,0.45,0.0146,0.2886
672.88,630.0,0.53,0.0146,0.2732
672.88,631.0,0.75,0.0146,0.2703
672.88,632.0,0.82,0.0146,0.2661
672.88,633.0,0.84,0.0146,0.2639
672.88,634.0,0.78,0.0146,0.2606
672.88,635.0,0.9,0.0146,0.2582
672.88,636.0,0.55,0.0146,0.2556
672.88,637.0,1.01,0.0146,0.2527
672.88,638.0,0.85,0.0146,0.2479
672.88,639.0,0.63,0.0146,0.2456
672.88,640.0,0.66,0.0146,0.2424
672.88,641.0,0.8,0.0146,0.239
672.88,642.0,0.85,0.0146,0.2361
672.88,643.0,0.9,0.0146,0.2367
672.88,644.0,1.0,0.0146,0.2334
672.88,645.0,1.08,0.0146,0.2318
672.88,646.0,1.35,0.0146,0.228
672.88,647.0,1.07,0.0146,0.2264
672.88,648.0,1.09,0.0146,0.224
672.88,649.0,1.19,0.0146,0.2212
672.88,650.0,1.26,0.0146,0.2192
672.88,651.0,1.61,0.0146,0.2174
672.88,652.0,2.02,0.0146,0.2144
672.88,653.0,1.81,0.0146,0.2123
672.88,654.0,2.12,0.0146,0.2095
672.88,655.0,2.01,0.0146,0.2076
672.88,656.0,1.92,0.0146,0.2058
672.88,657.0,2.07,0.0146,0.2035
672.88,658.0,2.81,0.0146,0.2028
672.88,659.0,2.83,0.0146,0.199
672.88,660.0,2.62,0.0146,0.1973
672.88,661.0,3.37,0.0146,0.1948
672.88,662.0,2.89,0.0146,0.1936
672.88,663.0,3.26,0.0146,0.1911
672.88,664.0,3.5,0.0146,0.1889
672.88,665.0,3.59,0.0146,0.1873
672.88,666.0,4.48,0.0146,0.1849
672.88,667.0,4.32,0.0146,0.1832
672.88,668.0,4.45,0.0146,0.1809
672.88,669.0,4.76,0.0146,0.1784
672.88,670.0,5.17,0.0146,0.1771
672.88,671.0,5.48,0.0146,0.1744
672.88,672.0,5.88,0.0146,0.1716
672.88,673.0,6.2,0.0146,0.1701
672.88,674.0,6.7,0.0146,0.1674
672.88,675.0,8.03,0.0146,0.1658
672.88,676.0,7.84,0.0146,0.1639
672.88,677.0,9.2,0.0146,0.1608
672.88,679.0,11.77,0.0146,0.1594
672.88,680.0,9.97,0.0146,0.155
672.88,681.0,13.68,0.0146,0.1545
672.88,683.0,13.17,0.0146,0.1515
672.88,684.0,16.68,0.0146,0.1509
672.88,687.0,15.02,0.0146,0.1474
672.88,689.0,20.16,0.0146,0.1526
672.88,690.0,19.59,0.0146,0.1526
672.88,725.0,46.43,0.0146,0.4158
672.88,525.0,0.09,0.0173,0.6172
672.88,530.0,0.1,0.0173,0.6152
672.88,535.0,0.11,0.0173,0.5938
672.88,540.0,0.13,0.0173,0.5801
672.88,545.0,0.1,0.0173,0.5508
672.88,550.0,0.11,0.0173,0.5391
672.88,555.0,0.15,0.0173,0.5322
672.88,560.0,0.1,0.0173,0.5049
672.88,565.0,0.13,0.0173,0.5
672.88,570.0,0.15,0.0173,0.4731
672.88,575.0,0.22,0.0173,0.459
672.88,580.0,0.17,0.0173,0.4443
672.88,585.0,0.18,0.0173,0.4277
672.88,590.0,0.24,0.0173,0.4111
672.88,595.0,0.22,0.0173,0.3877
672.88,600.0,0.22,0.0173,0.3721
672.88,601.0,0.31,0.0173,0.3677
672.88,602.0,0.33,0.0173,0.3628
672.88,603.0,0.38,0.0173,0.3648
672.88,604.0,0.32,0.0173,0.356
672.88,605.0,0.29,0.0173,0.3574
672.88,606.0,0.6,0.0173,0.3545
672.88,607.0,0.4,0.0173,0.3496
672.88,608.0,0.32,0.0173,0.3469
672.88,609.0,0.33,0.0173,0.3403
672.88,610.0,0.3,0.0173,0.3391
672.88,611.0,0.37,0.0173,0.3345
672.88,612.0,0.47,0.0173,0.3296
672.88,613.0,0.39,0.0173,0.3247
672.88,614.0,0.4,0.0173,0.3218
672.88,615.0,0.35,0.0173,0.3201
672.88,616.0,0.51,0.0173,0.3152
672.88,617.0,0.44,0.0173,0.312
672.88,618.0,0.35,0.0173,0.3086
672.88,619.0,0.48,0.0173,0.3064
672.88,620.0,0.38,0.0173,0.3001
672.88,621.0,0.44,0.0173,0.2979
672.88,622.0,0.42,0.0173,0.2957
672.88,623.0,0.56,0.0173,0.292
672.88,624.0,0.5,0.0173,0.2881
672.88,625.0,0.43,0.0173,0.2857
672.88,626.0,0.59,0.0173,0.2839
672.88,627.0,0.66,0.0173,0.28
672.88,628.0,0.57,0.0173,0.277
672.88,629.0,0.57,0.0173,0.2717
672.88,630.0,0.56,0.0173,0.2698
672.88,631.0,0.65,0.0173,0.2683
672.88,632.0,0.64,0.0173,0.2639
672.88,633.0,0.6,0.0173,0.2595
672.88,634.0,0.75,0.0173,0.2595
672.88,635.0,0.69,0.0173,0.2566
672.88,636.0,0.76,0.0173,0.2535
672.88,637.0,0.79,0.0173,0.2511
672.88,638.0,0.82,0.0173,0.2478
672.88,639.0,0.9,0.0173,0.2463
672.88,640.0,0.9,0.0173,0.2434
672.88,641.0,0.92,0.0173,0.241
672.88,642.0,1.01,0.0173,0.2395
672.88,643.0,1.0,0.0173,0.236
672.88,644.0,1.05,0.0173,0.2334
672.88,645.0,1.17,0.0173,0.2318
672.88,646.0,1.23,0.0173,0.2283
672.88,647.0,1.33,0.0173,0.2277
672.88,648.0,1.46,0.0173,0.2252
672.88,649.0,1.49,0.0173,0.2225
672.88,650.0,1.61,0.0173,0.2205
672.88,651.0,1.68,0.0173,0.2177
672.88,652.0,1.86,0.0173,0.216
672.88,653.0,1.9,0.0173,0.2134
672.88,654.0,2.0,0.0173,0.2118
672.88,655.0,2.21,0.0173,0.2098
672.88,656.0,2.27,0.0173,0.2072
672.88,657.0,2.8,0.0173,0.2052
672.88,658.0,2.54,0.0173,0.2026
672.88,659.0,2.83,0.0173,0.2009
672.88,660.0,3.04,0.0173,0.1989
672.88,661.0,3.23,0.0173,0.1971
672.88,662.0,3.4,0.0173,0.1951
672.88,663.0,3.58,0.0173,0.1925
672.88,664.0,3.87,0.0173,0.19
672.88,665.0,4.21,0.0173,0.1877
672.88,666.0,4.45,0.0173,0.1857
672.88,667.0,4.76,0.0173,0.1844
672.88,668.0,5.02,0.0173,0.182
672.88,669.0,5.38,0.0173,0.1797
672.88,670.0,5.74,0.0173,0.1784
672.88,671.0,6.08,0.0173,0.1758
672.88,672.0,6.51,0.0173,0.1751
672.88,673.0,6.87,0.0173,0.1724
672.88,674.0,7.29,0.0173,0.1699
672.88,675.0,7.81,0.0173,0.1683
672.88,676.0,8.12,0.0173,0.166
672.88,677.0,9.65,0.0173,0.1636
672.88,678.0,9.38,0.0173,0.1613
672.88,679.0,9.81,0.0173,0.1597
672.88,680.0,10.44,0.0173,0.1595
672.88,681.0,11.06,0.0173,0.1598
672.88,682.0,15.59,0.0173,0.1553
672.88,683.0,13.51,0.0173,0.1558
672.88,684.0,15.39,0.0173,0.1543
672.88,685.0,14.97,0.0173,0.1534
672.88,686.0,18.11,0.0173,0.1484
672.88,687.0,19.16,0.0173,0.1494
672.88,688.0,17.41,0.0173,0.1532
672.88,689.0,18.48,0.0173,0.1516
672.88,690.0,19.41,0.0173,0.1536
672.88,691.0,25.0,0.0173,0.1528
672.88,692.0,18.97,0.0173,0.1561
672.88,693.0,25.32,0.0173,0.1569
672.88,694.0,20.95,0.0173,0.1596
672.88,695.0,26.94,0.0173,0.1637
672.88,696.0,28.31,0.0173,0.1691
672.88,697.0,24.39,0.0173,0.1757
672.88,698.0,21.8,0.0173,0.179
672.88,699.0,26.85,0.0173,0.1836
672.88,700.0,33.63,0.0173,0.192
672.88,701.0,29.36,0.0173,0.2445
672.88,702.0,30.52,0.0173,0.2504
672.88,703.0,19.95,0.0173,0.2527
672.88,704.0,30.53,0.0173,0.2755
672.88,705.0,31.53,0.0173,0.28
672.88,706.0,34.42,0.0173,0.2848
672.88,707.0,24.0,0.0173,0.2906
672.88,708.0,36.52,0.0173,0.2963
672.88,709.0,32.44,0.0173,0.302
672.88,710.0,35.9,0.0173,0.3086
672.88,712.0,27.7,0.0173,0.3258
672.88,714.0,26.04,0.0173,0.3189
672.88,715.0,44.15,0.0173,0.3242
672.88,716.0,28.0,0.0173,0.329
672.88,720.0,50.63,0.0173,0.3623
672.88,725.0,43.0,0.0173,0.3783
672.88,730.0,62.1,0.0173,0.4011
672.88,735.0,67.26,0.0173,0.4553
672.88,740.0,58.3,0.0173,0.4817
672.88,745.0,58.97,0.0173,0.4838
672.88,750.0,85.26,0.0173,0.5374
672.88,755.0,90.28,0.0173,0.5367
672.88,765.0,86.9,0.0173,0.5817
672.88,770.0,91.89,0.0173,0.6075
672.88,790.0,106.63,0.0173,0.5239
672.88,800.0,116.61,0.0173,0.5911
672.88,523.0,0.08,0.0365,0.5083
672.88,524.0,0.11,0.0365,0.5049
672.88,525.0,0.18,0.0365,0.499
672.88,526.0,0.16,0.0365,0.502
672.88,527.0,0.15,0.0365,0.5
672.88,528.0,0.09,0.0365,0.4971
672.88,529.0,0.13,0.0365,0.4893
672.88,530.0,0.26,0.0365,0.4902
672.88,531.0,0.07,0.0365,0.4863
672.88,532.0,0.19,0.0365,0.4795
672.88,533.0,0.21,0.0365,0.4795
672.88,534.0,0.13,0.0365,0.4834
672.88,535.0,0.17,0.0365,0.4795
672.88,536.0,0.25,0.0365,0.4761
672.88,537.0,0.1,0.0365,0.4727
672.88,538.0,0.08,0.0365,0.4692
672.88,539.0,0.19,0.0365,0.4688
672.88,540.0,0.19,0.0365,0.459
672.88,541.0,0.11,0.0365,0.4619
672.88,542.0,0.2,0.0365,0.4551
672.88,543.0,0.09,0.0365,0.4551
672.88,544.0,0.12,0.0365,0.4482
672.88,545.0,0.2,0.0365,0.4482
672.88,546.0,0.16,0.0365,0.4478
672.88,547.0,0.1,0.0365,0.4443
672.88,548.0,0.25,0.0365,0.4404
672.88,549.0,0.34,0.0365,0.437
672.88,550.0,0.27,0.0365,0.439
672.88,551.0,0.35,0.0365,0.4356
672.88,552.0,0.35,0.0365,0.4375
672.88,553.0,0.3,0.0365,0.4287
672.88,554.0,0.17,0.0365,0.4253
672.88,555.0,0.24,0.0365,0.4243
672.88,556.0,0.28,0.0365,0.4233
672.88,557.0,0.39,0.0365,0.4243
672.88,558.0,0.26,0.0365,0.416
672.88,559.0,0.4,0.0365,0.415
672.88,560.0,0.25,0.0365,0.4116
672.88,561.0,0.39,0.0365,0.4126
672.88,562.0,0.34,0.0365,0.4089
672.88,563.0,0.38,0.0365,0.4033
672.88,564.0,0.35,0.0365,0.3999
672.88,565.0,0.28,0.0365,0.3984
672.88,566.0,0.26,0.0365,0.397
672.88,567.0,0.39,0.0365,0.3933
672.88,568.0,0.33,0.0365,0.3916
672.88,569.0,0.43,0.0365,0.3862
672.88,570.0,0.31,0.0365,0.3848
672.88,571.0,0.4,0.0365,0.3814
672.88,572.0,0.2,0.0365,0.3833
672.88,573.0,0.49,0.0365,0.3796
672.88,574.0,0.35,0.0365,0.3794
672.88,575.0,0.36,0.0365,0.374
672.88,576.0,0.37,0.0365,0.3706
672.88,577.0,0.54,0.0365,0.3652
672.88,578.0,0.34,0.0365,0.3635
672.88,579.0,0.42,0.0365,0.3633
672.88,580.0,0.36,0.0365,0.3579
672.88,581.0,0.4,0.0365,0.3574
672.88,582.0,0.29,0.0365,0.3569
672.88,583.0,0.41,0.0365,0.3518
672.88,584.0,0.21,0.0365,0.3496
672.88,585.0,0.51,0.0365,0.3477
672.88,586.0,0.62,0.0365,0.344
672.88,587.0,0.53,0.0365,0.343
672.88,588.0,0.5,0.0365,0.3394
672.88,589.0,0.46,0.0365,0.3345
672.88,590.0,0.45,0.0365,0.3335
672.88,591.0,0.55,0.0365,0.3298
672.88,592.0,0.55,0.0365,0.3286
672.88,593.0,0.3,0.0365,0.3262
672.88,594.0,0.55,0.0365,0.3237
672.88,595.0,0.65,0.0365,0.3201
672.88,596.0,0.52,0.0365,0.3176
672.88,597.0,0.66,0.0365,0.3149
672.88,598.0,0.89,0.0365,0.3135
672.88,599.0,0.57,0.0365,0.3098
672.88,600.0,0.51,0.0365,0.3071
672.88,601.0,0.54,0.0365,0.3045
672.88,602.0,0.78,0.0365,0.3018
672.88,603.0,0.6,0.0365,0.301
672.88,604.0,0.67,0.0365,0.2971
672.88,605.0,0.83,0.0365,0.2953
672.88,606.0,0.57,0.0365,0.2915
672.88,608.0,0.69,0.0365,0.2883
672.88,610.0,0.7,0.0365,0.2824
672.88,611.0,1.17,0.0365,0.2802
672.88,612.0,0.78,0.0365,0.2787
672.88,613.0,0.97,0.0365,0.2764
672.88,614.0,0.96,0.0365,0.2725
672.88,615.0,0.94,0.0365,0.2693
672.88,616.0,0.86,0.0365,0.2682
672.88,617.0,0.9,0.0365,0.2664
672.88,618.0,1.44,0.0365,0.2631
672.88,619.0,1.0,0.0365,0.261
672.88,620.0,0.85,0.0365,0.259
672.88,621.0,0.95,0.0365,0.2568
672.88,622.0,1.04,0.0365,0.254
672.88,623.0,1.1,0.0365,0.2517
672.88,624.0,1.4,0.0365,0.2505
672.88,625.0,1.0,0.0365,0.2485
672.88,626.0,1.27,0.0365,0.2455
672.88,627.0,1.26,0.0365,0.2439
672.88,628.0,1.3,0.0365,0.2412
672.88,629.0,1.22,0.0365,0.2395
672.88,630.0,1.27,0.0365,0.2367
672.88,631.0,1.44,0.0365,0.2352
672.88,632.0,1.67,0.0365,0.2331
672.88,633.0,1.87,0.0365,0.2313
672.88,634.0,1.79,0.0365,0.2291
672.88,635.0,1.48,0.0365,0.2275
672.88,636.0,2.18,0.0365,0.2246
672.88,637.0,1.65,0.0365,0.2224
672.88,638.0,1.91,0.0365,0.2209
672.88,639.0,2.18,0.0365,0.2192
672.88,640.0,1.84,0.0365,0.2178
672.88,641.0,1.94,0.0365,0.2155
672.88,642.0,2.19,0.0365,0.2133
672.88,643.0,2.13,0.0365,0.2114
672.88,644.0,2.49,0.0365,0.2097
672.88,645.0,2.27,0.0365,0.2069
672.88,646.0,2.64,0.0365,0.2049
672.88,647.0,2.41,0.0365,0.2039
672.88,648.0,2.98,0.0365,0.2022
672.88,649.0,2.75,0.0365,0.1997
672.88,650.0,2.81,0.0365,0.1984
672.88,651.0,3.6,0.0365,0.1972
672.88,652.0,3.44,0.0365,0.1945
672.88,653.0,3.74,0.0365,0.1929
672.88,654.0,3.74,0.0365,0.191
672.88,655.0,3.53,0.0365,0.1891
672.88,656.0,4.0,0.0365,0.1874
672.88,657.0,4.13,0.0365,0.1856
672.88,658.0,4.62,0.0365,0.1833
672.88,659.0,4.4,0.0365,0.1807
672.88,660.0,4.5,0.0365,0.1797
672.88,661.0,5.25,0.0365,0.1782
672.88,662.0,5.45,0.0365,0.176
672.88,663.0,5.24,0.0365,0.1738
672.88,664.0,6.23,0.0365,0.1722
672.88,665.0,5.85,0.0365,0.1703
672.88,666.0,6.08,0.0365,0.1685
672.88,667.0,6.4,0.0365,0.1668
672.88,668.0,6.89,0.0365,0.1649
672.88,669.0,6.99,0.0365,0.1638
672.88,670.0,7.4,0.0365,0.1614
672.88,671.0,7.72,0.0365,0.1587
672.88,672.0,7.96,0.0365,0.158
672.88,673.0,9.4,0.0365,0.1558
672.88,674.0,8.89,0.0365,0.1539
672.88,675.0,9.26,0.0365,0.1518
672.88,676.0,9.72,0.0365,0.15
672.88,677.0,10.11,0.0365,0.1481
672.88,678.0,12.3,0.0365,0.1456
672.88,679.0,12.33,0.0365,0.1443
672.88,680.0,11.9,0.0365,0.1431
672.88,681.0,12.24,0.0365,0.1414
672.88,682.0,16.43,0.0365,0.1402
672.88,683.0,17.0,0.0365,0.1371
672.88,684.0,17.97,0.0365,0.1383
672.88,685.0,17.06,0.0365,0.1364
672.88,686.0,19.16,0.0365,0.132
672.88,687.0,21.99,0.0365,0.1331
672.88,688.0,23.35,0.0365,0.1328
672.88,689.0,21.35,0.0365,0.1312
672.88,690.0,19.97,0.0365,0.1305
672.88,691.0,19.42,0.0365,0.1302
672.88,692.0,28.85,0.0365,0.1317
672.88,693.0,27.86,0.0365,0.1299
672.88,694.0,30.69,0.0365,0.13
672.88,695.0,25.54,0.0365,0.1324
672.88,696.0,18.45,0.0365,0.1342
672.88,697.0,21.58,0.0365,0.1316
672.88,698.0,26.46,0.0365,0.1431
672.88,699.0,25.8,0.0365,0.1535
672.88,700.0,29.14,0.0365,0.1386
672.88,701.0,32.14,0.0365,0.1588
672.88,702.0,28.97,0.0365,0.1917
672.88,703.0,19.43,0.0365,0.1928
672.88,705.0,25.92,0.0365,0.1945
672.88,706.0,20.15,0.0365,0.2119
672.88,707.0,27.5,0.0365,0.2061
672.88,708.0,34.3,0.0365,0.2159
672.88,710.0,39.35,0.0365,0.2241
672.88,711.0,39.46,0.0365,0.2173
672.88,712.0,44.09,0.0365,0.2221
672.88,713.0,24.99,0.0365,0.2382
672.88,715.0,29.75,0.0365,0.2455
672.88,716.0,33.92,0.0365,0.2503
672.88,717.0,36.67,0.0365,0.2415
